date,gas_price_t,credit_tsla,credit_gm,credit_other,fed_credit_avg_t,s_inc_30d_t,s_inc_25e_t,lease_share_t,used_purchase_share_t,state_rebate_t,delta_t,total_subsidy_t,avg_msrp_ev_stock_t,avg_msrp_t,subsidy_share_t,valley_dummy_t,urgency_t,zev_index_t,fed_policy_index_t,tco_adv_t
2011-01-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-02-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-03-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-04-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-05-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-06-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-07-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-08-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-09-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-10-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-11-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2011-12-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-01-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-02-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-03-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-04-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-05-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-06-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-07-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-08-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-09-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-10-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-11-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2012-12-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
2013-01-01,2.478,7500.0,7500.0,7500.0,7500.0,0.9106120992730372,0.6765939625090218,0.3,0.0,0.0,0.85,6375.0,,42183.93,0.15112389955132202,0,0.0,0.0,0.1,0.022500000000000006
